"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"348",5,"nd","land with temporary fallow","natural fallow",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","instrumental variable IV model","instrumental_variable","coefficient value",-0.01,-0.01,"standard error","0",0,"nd",NA,"nd",NA,"nd",19,19,3843,3843,"Nepal","na","number of people","h size (number of people)"
"353",1,"nd","intercropping","unespecified",NA,NA,"h size","social","socio-demographic","species richness","partial correlation","Household size","h size","number of people","continuous","none","poisson regression model","other","coefficient value",0.018,0.018,"t value","1.91",1.91,"1.91",1.91,"0.1",0.1,"nd",8,8,302,302,"Nigeria",NA,"number of people","h size (number of people)"
"353",2,"nd","intercropping","unespecified",NA,NA,"h size","social","socio-demographic","Margalef index","partial correlation","Household size","h size","number of people","continuous","none","tobit regression model","tobit","coefficient value",0.007,0.007,"t value","1.77",1.77,"1.77",1.77,"0.1",0.1,"nd",8,8,302,302,"Nigeria",NA,"number of people","h size (number of people)"
"353",3,"nd","intercropping","unespecified",NA,NA,"h size","social","socio-demographic","simpson index","partial correlation","Household size","h size","number of people","continuous","none","tobit regression model","tobit","coefficient value",0.012,0.012,"t value","2.96",2.96,"2.96",2.96,"0.01",0.01,"nd",8,8,302,302,"Nigeria",NA,"number of people","h size (number of people)"
"387",1,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"h size","social","socio-demographic","species richness","partial correlation","family size","h size","number of people","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.28,0.28,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",8,8,144,144,"Ethiopia","nd","number of people","h size (number of people)"
"387",2,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"h size","social","socio-demographic","shannon index","partial correlation","family size","h size","number of people","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","number of people","h size (number of people)"
"387",3,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"h size","social","socio-demographic","evenness","partial correlation","family size","h size","number of people","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","number of people","h size (number of people)"
"452",1,"Maize","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","household size","h size","number of people","continuous","none","probit regression model","probit","coefficient value",0,0,"standard error","7.0000000000000001E-3",0.007,"nd",NA,"nd",NA,"nd",9,9,400,400,"Zambia","na","number of people","h size (number of people)"
"452",2,"nd","agroforestry","unespecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","household size","h size","number of people","continuous","none","probit regression model","probit","coefficient value",0.007,0.007,"standard error","7.0000000000000001E-3",0.007,"nd",NA,"nd",NA,"nd",9,9,400,400,"Zambia","nd","number of people","h size (number of people)"
"473",1,"Maize","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Total family size (number)","h size","number of people","continuous","none","multivariate probit mode","probit","coefficient value",0.046,0.046,"standard error","8.5000000000000006E-2",0.085,"nd",NA,"nd",NA,"nd",32,32,1539,1539,"Tanzania",NA,"number of people","h size (number of people)"
"473",2,"Maize","crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Total family size (number)","h size","number of people","continuous","none","multivariate probit mode","probit","coefficient value",0.063,0.063,"standard error","0.11799999999999999",0.118,"nd",NA,"nd",NA,"nd",32,32,1539,1539,"Tanzania",NA,"number of people","h size (number of people)"
"489",1,"Sorghum","crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","Logit regression","logit","coefficient value",-0.053,-0.053,"p value","nd",NA,"nd",NA,"nd",NA,"nd",11,11,120,120,"Uganda",NA,"number of people","h size (number of people)"
"489",2,"Sorghum","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","Logit regression","logit","coefficient value",-0.69,-0.69,"p value","7.0000000000000001E-3",0.007,"nd",NA,"7.0000000000000001E-3",0.007,"nd",11,11,120,120,"Uganda",NA,"number of people","h size (number of people)"
"500",1,"Soybean","crop rotation","rotation of annual crops","undefined",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Hhsize","h size","number of people","continuous","none","tobit model","tobit","coefficient value",-0.011,-0.011,"t value","-0.73699999999999999",-0.737,"-0.73699999999999999",-0.737,"nd",NA,"nd",11,11,400,400,"Nigeria",NA,"number of people","h size (number of people)"
"510",1,"Rice","crop rotation","rotation of annual crops","undefined",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","bivariate probit model","probit","coefficient value",0.001,0.001,"t ratio","0.04",0.04,"0.04",0.04,"nd",NA,"nd",12,12,406,406,"Bangladesh",NA,"number of people","h size (number of people)"
"517",1,"nd","agroforestry","undefined",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","HHSIZE household size","h size","number of people","continuous","none","Probit regression model","probit","coefficient value",-0.11,-0.11,"p value","1E-4",1e-04,"nd",NA,"1E-4",1e-04,"nd",14,14,400,400,"Nigeria",NA,"number of people","h size (number of people)"
"543",1,"Rubber","agroforestry","undefined",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FAMSIZE farm family size","h size","number of people","continuous","none","logit model","logit","coefficient value",0.004,0.004,"standard error","0.2",0.2,"2.3E-2",0.023,"nd",NA,"nd",17,17,588,588,"India",NA,"number of people","h size (number of people)"
"568",1,"Maize","pull-push",NA,NA,NA,"h size","social","socio-demographic","intensity (area under diversified farming system)","partial correlation","Household size","h size","number of people","continuous","none","Generalized Propensity score","other","marginal effect",0.016,0.016,"standard error","2.1999999999999999E-2",0.022,"nd",NA,"nd",NA,"nd",18,18,560,560,"Uganda",NA,"number of people","h size (number of people)"
"607",1,"Maize","crop rotation","unespecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household (family) size","h size","number of people","continuous","none","Logit regressions model","logit","coefficient value",-0.067,-0.067,"p value","nd",NA,"nd",NA,"nd",NA,"nd",36,36,692,692,"Uganda",NA,"number of people","h size (number of people)"
"624",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Hh size","h size","number of people","continuous","none","multivariate probit model","probit","coefficient value",-0.001,-0.001,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,1500,1500,"Kenya",NA,"number of people","h size (number of people)"
"624",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Hh size","h size","number of people","continuous","none","multivariate probit model","probit","coefficient value",-0.027,-0.027,"p value","nd",NA,"nd",NA,"nd",NA,"nd",28,28,29373,29373,"Malawi",NA,"number of people","h size (number of people)"
"624",3,"Maize","intercropping or crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Hh size","h size","number of people","continuous","none","multivariate probit model","probit","coefficient value",0.177,0.177,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",27,27,3861,3861,"Ethiopia",NA,"number of people","h size (number of people)"
"624",4,"Maize","intercropping or crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Hh size","h size","number of people","continuous","none","multivariate probit model","probit","coefficient value",0.142,0.142,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,1539,1539,"Tanzania",NA,"number of people","h size (number of people)"
"631",1,"nd","land with temporary fallow","natural fallow",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","multivariate probit (MVP) modeling","probit","coefficient value",-0.064,-0.064,"standard error","4.4999999999999998E-2",0.045,"nd",NA,"nd",NA,"nd",32,32,440,440,"Burkina Faso",NA,"number of people","h size (number of people)"
"631",2,"nd","agroforestry",NA,NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","multivariate probit (MVP) modeling","probit","coefficient value",0.022,0.022,"standard error","3.1E-2",0.031,"nd",NA,"nd",NA,"nd",32,32,440,440,"Burkina Faso",NA,"number of people","h size (number of people)"
"633",1,"nd","agroforestry","unespecified",NA,NA,"h size","social","socio-demographic","intensity (percentage of area under diversified farming system)","partial correlation","Family size","h size","number of people","continuous","none","multiple regression analysis","other","coefficient value",-0.078,-0.078,"p value","0.127",0.127,"nd",NA,"0.127",0.127,"nd",11,11,300,300,"Sudan",NA,"number of people","h size (number of people)"
"638",1,"nd","agroforestry","unespecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","logit regression model","logit","marginal effect",0.004,0.004,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,595,595,"Kenya",NA,"number of people","h size (number of people)"
"640",1,"Maize","crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Total household size","h size","number of people","continuous","none","mixed multinomial logit (MMNL) model","logit","coefficient value",0.13,0.13,"standard error","0.04",0.04,"nd",NA,"0.01",0.01,"nd",30,30,810,810,"Zambia",NA,"number of people","h size (number of people)"
"672",1,"nd","agroforestry","parklands","scattered trees",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","household number 8-15","h size","1= 8-15 members, 0= <8 members","categorical (multiple)","none","Logistic regression analysis","logit","coefficient value",1.37,1.37,"standard error","0.58899999999999997",0.589,"nd",NA,"0.02",0.02,"nd",8,8,274,274,"Sudan",NA,"1= 8-15 members, 0= <8 members","h size (1= 8-15 members, 0= <8 members)"
"672",1,"nd","agroforestry","parklands","scattered trees",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","household number more than 15","h size","1= more than 15 members, 0= <8 members","categorical (multiple)","none","Logistic regression analysis","logit","coefficient value",1.115,1.115,"standard error","0.52200000000000002",0.522,"nd",NA,"3.3000000000000002E-2",0.033,"nd",8,8,274,274,"Sudan",NA,"1= more than 15 members, 0= <8 members","h size (1= more than 15 members, 0= <8 members)"
"674",1,"nd","intercropping",NA,NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","In (household size) number","h size","number of people","continuous","ln","Probit model","probit","marginal effect",0.0208,0.0208,"standard error","1.6899999999999998E-2",0.0169,"nd",NA,"nd",NA,"nd",36,36,1533,1533,"Ethiopia",NA,"number of people","h size (number of people)"
"674",2,"nd","intercropping",NA,NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","In (household size) number","h size","number of people","continuous","ln","instrumental variables (IV) estimation","instrumental_variable","coefficient value",0.0273,0.0273,"standard error","4.5100000000000001E-2",0.0451,"nd",NA,"nd",NA,"nd",38,38,1440,1440,"Ethiopia",NA,"number of people","h size (number of people)"
"701",1,"nd","agroforestry","alley cropping","n fixing",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHHSIZE","h size","number of people","continuous","none","logit regression","logit","coefficient value",-0.0052,-0.0052,"t value","-0.27900000000000003",-0.279,"-0.27900000000000003",-0.279,"nd",NA,"nd",14,14,676,676,"Cameroon",NA,"number of people","h size (number of people)"
"701",1,"nd","land with temporary fallow","improved fallow","tree planting",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHHSIZE","h size","number of people","continuous","none","logit regression","logit","coefficient value",-0.00391,-0.00391,"t value","-0.217",-0.217,"-0.217",-0.217,"nd",NA,"nd",14,14,675,675,"Cameroon",NA,"number of people","h size (number of people)"
"701",3,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHHSIZE","h size","number of people","continuous","none","logit regression","logit","coefficient value",0.0113,0.0113,"t value","0.60699999999999998",0.607,"0.60699999999999998",0.607,"0.01",0.01,"nd",14,14,676,676,"Cameroon",NA,"number of people","h size (number of people)"
"701",4,"nd","grazing cut and carry","agro-silvopasture",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHHSIZE","h size","number of people","continuous","none","logit regression","logit","coefficient value",0.00596,0.00596,"t value","0.30199999999999999",0.302,"0.30199999999999999",0.302,"nd",NA,"nd",14,14,676,676,"Cameroon",NA,"number of people","h size (number of people)"
"750",1,"nd","agroforestry","homegarden",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","binary logistic regression model","logit","coefficient value",-0.816,-0.816,"standard error","0.65400000000000003",0.654,"nd",NA,"0.21199999999999999",0.212,"nd",15,15,96,96,"Uganda",NA,"number of people","h size (number of people)"
"750",2,"nd","agroforestry","parklands","scattered trees",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","binary logistic regression model","logit","coefficient value",-1.358,-1.358,"standard error","1.026",1.026,"nd",NA,"0.186",0.186,"nd",15,15,83,83,"Uganda",NA,"number of people","h size (number of people)"
"750",3,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","binary logistic regression model","logit","coefficient value",0.269,0.269,"standard error","0.39500000000000002",0.395,"nd",NA,"0.496",0.496,"nd",15,15,96,96,"Uganda",NA,"number of people","h size (number of people)"
"754",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1= no, 2= yes)","partial correlation","Famly size","h size","number of people","continuous","none","multinomial logit model","logit","coefficient value",-0.003,-0.003,"standard error","3.4000000000000002E-2",0.034,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"number of people","h size (number of people)"
"754",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1= no, 2= yes)","partial correlation","Famly size","h size","number of people","continuous","none","multinomial logit model","logit","coefficient value",-0.023,-0.023,"standard error","3.5999999999999997E-2",0.036,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"number of people","h size (number of people)"
"792",3,"Maize","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","seemingly unrelated probit model","probit","coefficient value",0.12,0.12,"standard error","0.06",0.06,"nd",NA,"0.05",0.05,"nd",22,22,613,613,"Tanzania",NA,"number of people","h size (number of people)"
"792",4,"Pigeonpea","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","seemingly unrelated probit model","probit","coefficient value",0.14,0.14,"standard error","0.06",0.06,"nd",NA,"0.05",0.05,"nd",23,23,613,613,"Tanzania",NA,"number of people","h size (number of people)"
"792",1,"Maize","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","recursive bivariate probit","probit","coefficient value",0.11,0.11,"standard error","0.06",0.06,"nd",NA,"0.05",0.05,"nd",22,22,613,613,"Tanzania",NA,"number of people","h size (number of people)"
"792",2,"Pigeonpea","intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","recursive bivariate probit","probit","coefficient value",0.08,0.08,"standard error","0.04",0.04,"nd",NA,"0.05",0.05,"nd",23,23,613,613,"Tanzania",NA,"number of people","h size (number of people)"
"807",1,"nd","agroforestry","alley cropping","unespecified",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHSIZE (size of household)","h size","number of people","continuous","none","Logit model","logit","coefficient value",-0.0012593,-0.0012593,"standard error","5.4179999999999999E-2",0.05418,"-2.3E-2",-0.023,"nd",NA,"nd",14,14,256,256,"Cameroon",NA,"number of people","h size (number of people)"
"808",1,"nd","agroforestry","unespecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family sizeb","h size","number of people","continuous","none","logit model","logit","coefficient value",-0.17,-0.17,"standard error","0.11",0.11,"nd",NA,"nd",NA,"nd",14,14,300,300,"Indonesia",NA,"number of people","h size (number of people)"
"808",2,"nd","agroforestry","unespecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family sizeb","h size","number of people","continuous","none","conditional logit","logit","coefficient value",-0.14,-0.14,"standard error","0.11",0.11,"nd",NA,"nd",NA,"nd",14,14,300,300,"Indonesia",NA,"number of people","h size (number of people)"
"815",3,"nd","agroforestry","unespecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","Multiple regression analysis with logistic modeling","logit","coefficient value",0.05,0.05,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",15,15,421,421,"India",NA,"number of people","h size (number of people)"
"941",1,"Rice, wheat","crop rotation and intercropping","n fixing",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","family size","h size","number of people","continuous","none","Multivariate probit model","probit","coefficient value",-0.003,-0.003,"standard error","1.4999999999999999E-2",0.015,"nd",NA,"nd",NA,"nd",28,28,1926,1926,"India",NA,"number of people","h size (number of people)"
