"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.004,0.004,"standard error","4.0000000000000001E-3",0.004,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= slight slope, 0= otherwise","soil slope (1= slight slope, 0= otherwise)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.019,0.019,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"0.01",0.01,"nd",23,23,27233,27233,"Vietnam",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.041,0.041,"standard error","1.2999999999999999E-2",0.013,"nd",NA,"0.01",0.01,"nd",23,23,27233,27233,"Vietnam",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"190",4,"nd","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.037,0.037,"standard error","1.2E-2",0.012,"nd",NA,"1E-3",0.001,"nd",23,23,28593,28593,"Vietnam",NA,"1= slight slope, 0= otherwise","soil slope (1= slight slope, 0= otherwise)"
"190",4,"nd","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.014,0.014,"standard error","1.6E-2",0.016,"nd",NA,"nd",NA,"nd",23,23,28593,28593,"Vietnam",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"190",4,"nd","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",-0.038,-0.038,"standard error","0.03",0.03,"nd",NA,"nd",NA,"nd",23,23,28593,28593,"Vietnam",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"190",5,"nd","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.016,0.016,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"1E-3",0.001,"nd",23,23,29323,29323,"Vietnam",NA,"1= slight slope, 0= otherwise","soil slope (1= slight slope, 0= otherwise)"
"190",5,"nd","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.007,0.007,"standard error","7.0000000000000001E-3",0.007,"nd",NA,"nd",NA,"nd",23,23,29323,29323,"Vietnam",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"190",5,"nd","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.076,0.076,"standard error","3.6999999999999998E-2",0.037,"nd",NA,"0.05",0.05,"nd",23,23,29323,29323,"Vietnam",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.001,0.001,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= slight slope, 0= otherwise","soil slope (1= slight slope, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.013,0.013,"standard error","1.4E-2",0.014,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",-0.004,-0.004,"standard error","3.3000000000000002E-2",0.033,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"234",1,"Corn, soybean","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slope of the field (degree)","soil slope","degrees","continuous","none","probit regression model","probit","coefficient value",0.16,0.16,"standard error","7.1999999999999995E-2",0.072,"nd",NA,"0.05",0.05,"nd",20,20,422,422,"USA","na","degrees","soil slope (degrees)"
"270",1,"Maize","intercropping",NA,NA,"annual crops","n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Flat plot","soil slope","1 = flat, 0 = No","categorical (binary)","none","Multivariate probit model","probit","coefficient value",-0.211,-0.211,"robust standard error","0.13600000000000001",0.136,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1 = flat, 0 = No","soil slope (1 = flat, 0 = No)"
"270",1,"Maize","intercropping",NA,NA,"annual crops","n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderately sloped plot","soil slope","1 = moderate, 0 = No","categorical (binary)","none","Multivariate probit model","probit","coefficient value",-0.082,-0.082,"robust standard error","0.13600000000000001",0.136,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"270",2,"Maize","crop rotation",NA,NA,"annual crops","n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Flat plot","soil slope","1 = flat, 0 = No","categorical (binary)","none","Multivariate probit model","probit","coefficient value",-0.012,-0.012,"robust standard error","0.151",0.151,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1 = flat, 0 = No","soil slope (1 = flat, 0 = No)"
"270",2,"Maize","crop rotation",NA,NA,"annual crops","n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderately sloped plot","soil slope","1 = moderate, 0 = No","categorical (binary)","none","Multivariate probit model","probit","coefficient value",0.112,0.112,"robust standard error","0.14899999999999999",0.149,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"387",1,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","species richness","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"387",2,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","shannon index","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.21,0.21,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"387",3,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","evenness","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.17,0.17,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"388",1,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","species richness","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.15,0.15,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"388",2,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","abundance","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"388",3,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","abundance","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"388",4,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","shannon index","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"388",5,"coffee","agroforestry","homegarden",NA,"trees, annual and perennial crops",NA,"soil slope","biophysical","0","farm","evenness","partial correlation","slope of the farm","soil slope","percentage","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","percentage","soil slope (percentage)"
"473",1,"Maize","intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has moderate slope (1=yes; 0=no)","hh perception of farm slope","1= moderate, 0= no","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.14,0.14,"standard error","0.08",0.08,"nd",NA,"0.1",0.1,"nd",32,32,1539,1539,"Tanzania",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"473",1,"Maize","intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has steep slope (1=yes; 0=no)","hh perception of farm slope","1= steep, 0= no","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.341,0.341,"standard error","0.14000000000000001",0.14,"nd",NA,"0.05",0.05,"nd",32,32,1539,1539,"Tanzania",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"473",2,"Maize","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has moderate slope (1=yes; 0=no)","hh perception of farm slope","1= moderate, 0= no","categorical (binary)","none","multivariate probit mode","probit","coefficient value",-0.234,-0.234,"standard error","0.108",0.108,"nd",NA,"0.05",0.05,"nd",32,32,1539,1539,"Tanzania",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"473",2,"Maize","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has steep slope (1=yes; 0=no)","hh perception of farm slope","1= steep, 0= no","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.037,0.037,"standard error","0.16800000000000001",0.168,"nd",NA,"nd",NA,"nd",32,32,1539,1539,"Tanzania",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"476",1,"Maize","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","flat plot soil","soil slope","1= flat plot, 0= otherwise","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.02,0.02,"standard error","0.27",0.27,"nd",NA,"nd",NA,"nd",30,30,1616,1616,"Ethiopia","interaction between factors included","1= flat plot, 0= otherwise","soil slope (1= flat plot, 0= otherwise)"
"476",1,"Maize","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","medium slope plot","soil slope","1= medium slope plot, 0= otherwise","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.09,0.09,"standard error","0.26",0.26,"nd",NA,"nd",NA,"nd",30,30,1616,1616,"Ethiopia","interaction between factors included","1= medium slope, 0= otherwise","soil slope (1= medium slope, 0= otherwise)"
"543",1,"Rubber","agroforestry",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","TERR Nature of the land","soil slope","1= flat, 0= sloped","categorical (binary)","none","logit model","logit","coefficient value",0.48,0.48,"standard error","0.46",0.46,"1.05",1.05,"nd",NA,"nd",17,17,588,588,"India",NA,"1= flat, 0= sloped","soil slope (1= flat, 0= sloped)"
"558",1,"Cassava","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","SLOPE","soil slope","Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","categorical (binary)","none","Probit model","probit","coefficient value",-0.09,-0.09,"standard error","0.19",0.19,"nd",NA,"nd",NA,"nd",12,12,767,767,"Vietnam, Thailand",NA,"Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","soil slope (Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly))"
"558",2,"Cassava","agroforestry","hedgerow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","SLOPE","soil slope","Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","categorical (binary)","none","Probit model","probit","coefficient value",0.35,0.35,"standard error","0.14000000000000001",0.14,"nd",NA,"0.05",0.05,"nd",12,12,767,767,"Vietnam, Thailand",NA,"Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","soil slope (Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly))"
"591",1,"Maize","intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Plot has steep slope (1 = yes)","soil slope","1= steep slope, 0= no","categorical (binary)","none","Multivariate CRE probit model","probit","coefficient value",-0.205,-0.205,"p value","nd",NA,"nd",NA,"nd",NA,"nd",24,24,1954,1954,"Tanzania",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"624",1,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.049,0.049,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,1500,1500,"Kenya",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"624",1,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.002,0.002,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,1500,1500,"Kenya",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"624",2,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.156,0.156,"p value","nd",NA,"nd",NA,"nd",NA,"nd",28,28,29373,29373,"Malawi",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"624",2,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.172,0.172,"p value","nd",NA,"nd",NA,"nd",NA,"nd",28,28,29373,29373,"Malawi",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"624",3,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",-0.011,-0.011,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,3861,3861,"Ethiopia",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"624",3,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.485,0.485,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,3861,3861,"Ethiopia",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"624",4,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.123,0.123,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,1539,1539,"Tanzania",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"624",4,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","categorical (binary)","none","multivariate probit model","probit","coefficient value",0.361,0.361,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,1539,1539,"Tanzania",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"640",1,"Maize","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Mean gentle slope","soil slope","1= gentle slope, 0= otherwise","categorical (binary)","none","mixed multinomial logit (MMNL) model","logit","coefficient value",-0.13,-0.13,"standard error","0.55000000000000004",0.55,"nd",NA,"nd",NA,"nd",30,30,810,810,"Zambia",NA,"1= gentle slope, 0= otherwise","soil slope (1= gentle slope, 0= otherwise)"
"640",1,"Maize","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Mean medium slope","soil slope","1= medium slope, 0= otherwise","categorical (binary)","none","mixed multinomial logit (MMNL) model","logit","coefficient value",-0.31,-0.31,"standard error","0.56000000000000005",0.56,"nd",NA,"nd",NA,"nd",30,30,810,810,"Zambia",NA,"1= medium slope, 0= otherwise","soil slope (1= medium slope, 0= otherwise)"
"709",1,"nd","agroforestry","hedgerow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is downslope (Ref : upslope)","soil slope","1= downslope, 0= upslope","categorical (binary)","none","Probit model","probit","marginal effect",0.169,0.169,"robust standard error","9.1999999999999998E-2",0.092,"na",NA,"0.1",0.1,"nd",16,16,240,240,"Uganda",NA,"1= downslope, 0= upslope","soil slope (1= downslope, 0= upslope)"
"709",1,"nd","agroforestry","hedgerow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is in the middle section mountain slopes (Ref : upslope)","soil slope","1= middle slope, upslope","categorical (binary)","none","Probit model","probit","marginal effect",0.02,0.02,"robust standard error","7.5999999999999998E-2",0.076,"na",NA,"nd",NA,"nd",16,16,240,240,"Uganda",NA,"1= medium slope, 0= otherwise","soil slope (1= medium slope, 0= otherwise)"
"709",2,"nd","soil bund with contour cultivation",NA,NA,"perennial grass",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is downslope (Ref : upslope)","soil slope","1= downslope, 0= upslope","categorical (binary)","none","Probit model","probit","marginal effect",0.108,0.108,"robust standard error","9.1999999999999998E-2",0.092,"na",NA,"nd",NA,"nd",16,16,240,240,"Uganda",NA,"1= downslope, 0= upslope","soil slope (1= downslope, 0= upslope)"
