"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"348",3,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Agriculture training","access to agricultural training","1= yes, 0= otherwise","categorical (binary)","none","linear probability model (LPM)","other","coefficient value",0.02,0.02,"standard error","0.02",0.02,"nd",NA,"nd",NA,"nd",19,19,3843,3843,"Nepal","na","1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"348",4,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Agriculture training","access to agricultural training","1= yes, 0= otherwise","categorical (binary)","none","logit marginal model","logit","marginal effect",0.02,0.02,"standard error","0.02",0.02,"nd",NA,NA,NA,"nd",19,19,3783,3783,"Nepal","na","1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"348",5,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Agriculture training","access to agricultural training","1= yes, 0= otherwise","categorical (binary)","none","instrumental variable IV model","instrumental_variable","coefficient value",0.02,0.02,"standard error","0.02",0.02,"nd",NA,"nd",NA,"nd",19,19,3843,3843,"Nepal","na","1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"442",1,"Rubber","agroforestry",NA,NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Attendance at agricultural training","access to agricultural training","1= yes, 0= no","categorical (binary)","none","logistic regression model","logit","coefficient value",1.398,1.398,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",14,14,200,200,"Thailand","Rubber, fruit trees","1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"568",1,"Maize","intercropping","pull-push",NA,"crop and fodder crop",NA,"Agricultural training","technical","information","context","intensity (area under diversified farming system)","partial correlation","Field day demostration participation","access to agricultural training","1= yes, 0= no","categorical (binary)","none","Generalized Propensity score","other","marginal effect",0.314,0.314,"standard error","0.13400000000000001",0.134,"nd",NA,"0.05",0.05,"nd",18,18,560,560,"Uganda",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"607",1,"Maize","crop rotation",NA,NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Agricultural training","access to agricultural training","1= yes, 0= no","categorical (binary)","none","Logit regressions model","logit","coefficient value",0.289,0.289,"p value","nd",NA,"nd",NA,"nd",NA,"nd",36,36,692,692,"Uganda",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"631",1,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training and awareness on Soil and Water Conservation practices","access to agricultural training","1= yes, 0= no","categorical (binary)","none","multivariate probit (MVP) modeling","probit","coefficient value",0.187,0.187,"standard error","0.19400000000000001",0.194,"nd",NA,"nd",NA,"nd",32,32,440,440,"Burkina Faso",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"631",1,"nd","land with temporary fallow","natural fallow",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training on climate change adaptation","access to agricultural training","1= yes, 0= no","categorical (binary)","none","multivariate probit (MVP) modeling","probit","coefficient value",0.066,0.066,"standard error","0.30099999999999999",0.301,"nd",NA,"nd",NA,"nd",32,32,440,440,"Burkina Faso",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"631",2,"nd","agroforestry",NA,NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training and awareness on Soil and Water Conservation practices","access to agricultural training","1= yes, 0= no","categorical (binary)","none","multivariate probit (MVP) modeling","probit","coefficient value",0.125,0.125,"standard error","0.16900000000000001",0.169,"nd",NA,"nd",NA,"nd",32,32,440,440,"Burkina Faso",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"631",2,"nd","agroforestry",NA,NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training on climate change adaptation","access to agricultural training","1= yes, 0= no","categorical (binary)","none","multivariate probit (MVP) modeling","probit","coefficient value",0.234,0.234,"standard error","0.27100000000000002",0.271,"nd",NA,"nd",NA,"nd",32,32,440,440,"Burkina Faso",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"750",1,"nd","agroforestry","homegarden",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training: ever received any agroforestry training","access to agricultural training","1= yes, 0= no","categorical (binary)","none","binary logistic regression model","logit","coefficient value",1.807,1.807,"standard error","1.083",1.083,"nd",NA,"9.5000000000000001E-2",0.095,"nd",15,15,96,96,"Uganda",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"750",2,"nd","agroforestry","parklands","scattered trees",NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training: ever received any agroforestry training","access to agricultural training","1= yes, 0= no","categorical (binary)","none","binary logistic regression model","logit","coefficient value",0.881,0.881,"standard error","1.2010000000000001",1.201,"nd",NA,"0.46300000000000002",0.463,"nd",15,15,83,83,"Uganda",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"750",3,"nd","agroforestry","hedgerow",NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Training: ever received any agroforestry training","access to agricultural training","1= yes, 0= no","categorical (binary)","none","binary logistic regression model","logit","coefficient value",0.449,0.449,"standard error","0.60799999999999998",0.608,"nd",NA,"0.46",0.46,"nd",15,15,96,96,"Uganda",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
"779",1,"nd","integrated aquaculture-agriculture",NA,NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Persons in HH trained in IAA (number)","access to agricultural training","number of people","continuous","none","logit model","logit","coefficient value",0.79,0.79,"standard error","0.25",0.25,"nd",NA,"0.01",0.01,"nd",10,10,315,315,"Malawi",NA,"number of people","Agricultural training (number of people)"
"779",2,"nd","integrated aquaculture-agriculture",NA,NA,NA,NA,"Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","Persons in HH trained in IAA (number)","access to agricultural training","number of people","continuous","none","ordinary least squares (OLS) method. Heckman’s two-step procedure","logit","coefficient value",-0.08299,-0.08299,"standard error","6.7119999999999999E-2",0.06712,"nd",NA,"nd",NA,"nd",11,11,315,315,"Malawi",NA,"number of people","Agricultural training (number of people)"
"815",3,"nd","agroforestry",NA,NA,NA,NA,"Agricultural training","technical","information","farmer","diversity adoption (1=yes, 0=no)","partial correlation","SFP training","agricultural training frequency","0= none, 1= occasional, 2= frequent","categorical (multiple)","none","Multiple regression analysis with logistic modeling","logit","coefficient value",0.15,0.15,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",15,15,421,421,"India",NA,"0= none, 1= occasional, 2= frequent","Agricultural training (0= none, 1= occasional, 2= frequent)"
"941",1,"Rice, wheat","crop rotation and intercropping",NA,NA,NA,"n fixing","Agricultural training","technical","information","context","diversity adoption (1=yes, 0=no)","partial correlation","training in agriculture","access to agricultural training","1= yes, 0= otherwise","categorical (binary)","none","Multivariate probit model","probit","coefficient value",0.645,0.645,"standard error","0.35899999999999999",0.359,"nd",NA,"0.1",0.1,"nd",28,28,1926,1926,"India",NA,"1= yes, 0= no","Agricultural training (1= yes, 0= no)"
