"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"21",6,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00969,0.00969,"robust standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"mm","precipitation (mm)"
"21",6,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0302,0.000302,"robust standard error","4.4999999999999998E-2",0.00045,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","correlated random effects probit model","probit","coefficient value",0.000858,0.000858,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"Zambia",NA,"mm","precipitation (mm)"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","correlated random effects probit model","probit","coefficient value",0.0206,0.000206,"robust standard error","0.01",1e-04,"nd",NA,"0.05",0.05,"nd",34,34,7934,7934,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","truncated normal regression","truncated","coefficient value",0.0101,0.0101,"robust standard error","1.4999999999999999E-2",0.015,"nd",NA,"nd",NA,"nd",34,34,2861,2861,"Zambia",NA,"mm","precipitation (mm)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","truncated normal regression","truncated","coefficient value",-0.0206,-0.000206,"robust standard error","8.8999999999999996E-2",0.00089,"nd",NA,"nd",NA,"nd",34,34,2861,2861,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","fractional response probit","probit","coefficient value",0.000607,0.000607,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"Zambia",NA,"mm","precipitation (mm)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","fractional response probit","probit","coefficient value",0.00216,2.16e-05,"robust standard error","5.0000000000000001E-3",5e-05,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",10,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","correlated random effects probit model","probit","coefficient value",0.000766,0.000766,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",30,30,14100,14100,"Zambia",NA,"mm","precipitation (mm)"
"21",10,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","correlated random effects probit model","probit","coefficient value",0.0264,0.000264,"robust standard error","1.0999999999999999E-2",0.00011,"nd",NA,"0.05",0.05,"nd",30,30,14100,14100,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",11,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","truncated normal regression","truncated","coefficient value",0.00844,0.00844,"robust standard error","1.2E-2",0.012,"nd",NA,"nd",NA,"nd",30,30,4858,4858,"Zambia",NA,"mm","precipitation (mm)"
"21",11,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","truncated normal regression","truncated","coefficient value",0.0822,0.000822,"robust standard error","0.14599999999999999",0.00146,"nd",NA,"nd",NA,"nd",30,30,4858,4858,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",12,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","fractional response probit","probit","coefficient value",0.000165,0.000165,"robust standard error","0",0,"nd",NA,"nd",NA,"nd",30,30,14100,14100,"Zambia",NA,"mm","precipitation (mm)"
"21",12,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","fractional response probit","probit","coefficient value",0.0106,0.000106,"robust standard error","6.0000000000000001E-3",6e-05,"nd",NA,"0.1",0.1,"nd",30,30,14100,14100,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"200",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Rainfall","precipitation","mm/year","continuous","none","binary logistic regression model","logit","coefficient value",0,0,"p value","0.52",0.52,"nd",NA,"0.52",0.52,"nd",22,22,135,135,"South Africa","na","mm","precipitation (mm)"
"234",1,"Corn, soybean","crop rotation","rotation of annual crops","undefined",NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation 30-year average precipitation in millimeter (May–September)","precipitation","mm","continuous","none","probit regression model","probit","coefficient value",-0.01,-0.01,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.01",0.01,"nd",20,20,422,422,"USA","na","mm","precipitation (mm)"
"384",1,"Maize","intercropping","annual crops","n fixing",NA,"precipitation","biophysical","0","context, farm","intensity (the quantity of intercropped legume seeds with maize kg/ha)","partial correlation","Coefficient of variation of rainfall","precipitation CV","coeficient of variation","continuous","none","principal component analysis (PCA): household fixed-effects model","fixed_effects","coefficient value",2.063,2.063,"robust standard error","1.056",1.056,"0.1",0.1,"nd",NA,"nd",8,8,1750,1750,"Kenya","na","coefficient of variation","precipitation (coefficient of variation)"
"409",1,"Corn","crop rotation","annual crops","unespecified",NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Extreme Precip measures number of days during the ﬁve-year period (2007–2011) preceding the survey when the daily precipitation exceeded the 99th percentile of daily precipitation, relative to the fortyyear period from 1971 to 2011","precipitation","number of days with precipitation exceading the 99th percentile of daily precipitation","continuous","none","Fixed effect model","fixed_effects","coefficient value",63.62,63.62,"standard error","46.67",46.67,"nd",NA,"nd",NA,"nd",4,4,2316,2316,"USA","na","number of days with precipitation exceading the 99th percentile of daily precipitation","precipitation (number of days with precipitation exceading the 99th percentile of daily precipitation)"
"433",1,"Tea","agroforestry","shaded perennial crop systems",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Increase in annual total rainfall (expressing the change in average annual rainfall between the years 1990–1995 and 2009–2014)","precipitation","mm/year","continuous","none","multinomial logit model","logit","coefficient value",9e-04,9e-04,"p value","0.16400000000000001",0.164,"nd",NA,"0.16400000000000001",0.164,"nd",6,6,50,50,"India","nd","mm","precipitation (mm)"
"458",0,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","probability of adoption diversified farming system","partial correlation","Rain onset delay (avg. dekads) (i.e. 10 days)","precipitation CV","(avg. dekads) (i.e. 10 days)","continuous","none","CMLE probit models","probit","coefficient value",0.861,0.861,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",27,27,8208,8208,"Zambia",NA,"(avg. dekads) (i.e. 10 days)","precipitation ((avg. dekads) (i.e. 10 days))"
"458",0,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","probability of adoption diversified farming system","partial correlation","Rainfall Estimates CV (1996-2011)","precipitation CV","coefficient of variation","continuous","none","CMLE probit models","probit","coefficient value",-0.349,-0.349,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,8208,8208,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"458",1,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Rain onset delay (avg. dekads) d (i.e. 10 days)","precipitation CV","(avg. dekads) (i.e. 10 days)","continuous","none","random effects tobit model","tobit","coefficient value",0.325,0.325,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",27,27,8208,8208,"Zambia",NA,"(avg. dekads) (i.e. 10 days)","precipitation ((avg. dekads) (i.e. 10 days))"
"458",1,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Rainfall Estimates CV (1996-2011)","precipitation CV","coefficient of variation","continuous","none","random effects tobit model","tobit","coefficient value",0.153,0.153,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,8208,8208,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"458",2,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Rain onset delay (avg. dekads) d (i.e. 10 days)","precipitation CV","(avg. dekads) (i.e. 10 days)","continuous","none","fractional probit model","probit","coefficient value",0.968,0.968,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",27,27,8208,8208,"Zambia",NA,"(avg. dekads) (i.e. 10 days)","precipitation ((avg. dekads) (i.e. 10 days))"
"458",2,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Rainfall Estimates CV (1996-2011)","precipitation CV","coefficient of variation","continuous","none","fractional probit model","probit","coefficient value",0.385,0.385,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,8208,8208,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"458",3,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Rain onset delay (avg. dekads) d (i.e. 10 days)","precipitation CV","(avg. dekads) (i.e. 10 days)","continuous","none","Multivariate Probit","probit","coefficient value",0.751,0.751,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",27,27,8208,8208,"Zambia",NA,"(avg. dekads) (i.e. 10 days)","precipitation ((avg. dekads) (i.e. 10 days))"
"458",3,"nd","crop rotation","unespecified",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Rainfall Estimates CV (1996-2011)","precipitation CV","coefficient of variation","continuous","none","Multivariate Probit","probit","coefficient value",-0.476,-0.476,"p value","nd",NA,"nd",NA,"nd",NA,"nd",27,27,8208,8208,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"591",1,"Maize","intercropping","n fixing",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","CoV rainfall (1983-2012)","precipitation CV","coefficient of variation","continuous","none","Multivariate CRE probit model","probit","coefficient value",-0.016,-0.016,"p value","nd",NA,"nd",NA,"nd",NA,"nd",24,24,1954,1954,"Tanzania",NA,"coefficient of variation","precipitation (coefficient of variation)"
"591",1,"Maize","intercropping","n fixing",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","CoV 5 yrs before season > Long Run CoV","precipitation CV","1= CoV 5 yrs before season > Long Run CoV, 0= no","categorical (binary)","none","Multivariate CRE probit model","probit","coefficient value",0.311,0.311,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",24,24,1954,1954,"Tanzania",NA,"1= CoV 5 yrs before season > Long Run CoV, 0= no","precipitation (1= CoV 5 yrs before season > Long Run CoV, 0= no)"
"737",1,"Jatropha","agroforestry","exotic trees",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation","precipitation","mm/year","continuous","none","logistic multilevel models","logit","coefficient value",3.13,3.13,"standard error","1.63",1.63,"nd",NA,"0.1",0.1,"nd",37,37,2312,2312,"Mali",NA,"mm","precipitation (mm)"
"737",2,"Jatropha","agroforestry","exotic trees",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation","precipitation","mm/year","continuous","none","logistic multilevel models","logit","coefficient value",2.93,2.93,"standard error","1.59",1.59,"nd",NA,"0.1",0.1,"nd",37,37,2312,2312,"Mali",NA,"mm","precipitation (mm)"
"927",1,"Corn","crop rotation","rotation of annual crops","n fixing",NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation: 30 year average annual precipitation in meters","precipitation","meters/year","continuous","none","Logit Models","logit","coefficient value",1.444,1444,"standard error","1.03",1030,"nd",NA,"nd",NA,"nd",13,13,842,842,"USA",NA,"mm","precipitation (mm)"
"927",2,"Corn","soil bund with contour cultivation","crops",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation: 30 year average annual precipitation in meters","precipitation","meters/year","continuous","none","Logit Models","logit","coefficient value",-0.979,-979,"standard error","1.0900000000000001",1090,"nd",NA,"nd",NA,"nd",12,12,842,842,"USA",NA,"mm","precipitation (mm)"
"927",3,"Corn","soil bund with contour cultivation","grass",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation: 30 year average annual precipitation in meters","precipitation","meters/year","continuous","none","Logit Models","logit","coefficient value",2.185,2185,"standard error","0.9",900,"nd",NA,"nd",NA,"nd",12,12,842,842,"USA",NA,"mm","precipitation (mm)"
"927",4,"Corn","intercropping",NA,NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Precipitation: 30 year average annual precipitation in meters","precipitation","meters/year","continuous","none","Logit Models","logit","coefficient value",5.321,5321,"standard error","3.69",3690,"nd",NA,"nd",NA,"nd",12,12,842,842,"USA",NA,"mm","precipitation (mm)"
