"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation_of_use","x_metric_unit_recla","factor","factor_metric_unit"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","4.0000000000000001E-3",0.004,"standard error","4.0000000000000001E-3",0.004,"nd",NA,"nd",NA,"nd","23",23,27233,27233,"Vietnam",NA,"1= slight slope, 0= otherwise","farm/plot slope","farm/plot slope (1= slight slope, 0= otherwise)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","1.9E-2",0.019,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"0.01",0.01,"nd","23",23,27233,27233,"Vietnam",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","4.1000000000000002E-2",0.041,"standard error","1.2999999999999999E-2",0.013,"nd",NA,"0.01",0.01,"nd","23",23,27233,27233,"Vietnam",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"190",4,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","3.6999999999999998E-2",0.037,"standard error","1.2E-2",0.012,"nd",NA,"1E-3",0.001,"nd","23",23,28593,28593,"Vietnam",NA,"1= slight slope, 0= otherwise","farm/plot slope","farm/plot slope (1= slight slope, 0= otherwise)"
"190",4,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","1.4E-2",0.014,"standard error","1.6E-2",0.016,"nd",NA,"nd",NA,"nd","23",23,28593,28593,"Vietnam",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"190",4,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","-3.7999999999999999E-2",-0.038,"standard error","0.03",0.03,"nd",NA,"nd",NA,"nd","23",23,28593,28593,"Vietnam",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"190",5,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","1.6E-2",0.016,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"1E-3",0.001,"nd","23",23,29323,29323,"Vietnam",NA,"1= slight slope, 0= otherwise","farm/plot slope","farm/plot slope (1= slight slope, 0= otherwise)"
"190",5,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","7.0000000000000001E-3",0.007,"standard error","7.0000000000000001E-3",0.007,"nd",NA,"nd",NA,"nd","23",23,29323,29323,"Vietnam",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"190",5,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","7.5999999999999998E-2",0.076,"standard error","3.6999999999999998E-2",0.037,"nd",NA,"0.05",0.05,"nd","23",23,29323,29323,"Vietnam",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","1E-3",0.001,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd","23",23,27233,27233,"Vietnam",NA,"1= slight slope, 0= otherwise","farm/plot slope","farm/plot slope (1= slight slope, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","1.2999999999999999E-2",0.013,"standard error","1.4E-2",0.014,"nd",NA,"nd",NA,"nd","23",23,27233,27233,"Vietnam",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","none","fixed-effects linear probability model","Linear probability model","coefficient value","-4.0000000000000001E-3",-0.004,"standard error","3.3000000000000002E-2",0.033,"nd",NA,"nd",NA,"nd","23",23,27233,27233,"Vietnam",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"234",1,"Corn, soybean","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slope of the field (degree)","soil slope","degrees","none","probit regression model","probit","coefficient value","0.16",0.16,"standard error","7.1999999999999995E-2",0.072,"nd",NA,"0.05",0.05,"nd","20",20,422,422,"USA",NA,"degrees","farm/plot slope","farm/plot slope (degrees)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Flat plot","soil slope","1 = flat, 0 = No","none","Multivariate probit model","probit","coefficient value","-0.21099999999999999",-0.211,"robust standard error","0.13600000000000001",0.136,"nd",NA,"nd",NA,"nd","30",30,2687,2687,"Kenya",NA,"1 = flat, 0 = No","farm/plot slope","farm/plot slope (1 = flat, 0 = No)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderately sloped plot","soil slope","1 = moderate, 0 = No","none","Multivariate probit model","probit","coefficient value","-8.2000000000000003E-2",-0.082,"robust standard error","0.13600000000000001",0.136,"nd",NA,"nd",NA,"nd","30",30,2687,2687,"Kenya",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"270",2,"Maize","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Flat plot","soil slope","1 = flat, 0 = No","none","Multivariate probit model","probit","coefficient value","-1.2E-2",-0.012,"robust standard error","0.151",0.151,"nd",NA,"nd",NA,"nd","30",30,2687,2687,"Kenya",NA,"1 = flat, 0 = No","farm/plot slope","farm/plot slope (1 = flat, 0 = No)"
"270",2,"Maize","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderately sloped plot","soil slope","1 = moderate, 0 = No","none","Multivariate probit model","probit","coefficient value","0.112",0.112,"robust standard error","0.14899999999999999",0.149,"nd",NA,"nd",NA,"nd","30",30,2687,2687,"Kenya",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"387",2,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"shannon index","partial correlation","slope of the farm","soil slope","percentage","none","stepwise multiple linear regression analysis","other","coefficient value","0.21",0.21,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd","8",8,144,144,"Ethiopia",NA,"percentage","farm/plot slope","farm/plot slope (percentage)"
"387",3,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"evenness","partial correlation","slope of the farm","soil slope","percentage","none","stepwise multiple linear regression analysis","other","coefficient value","0.17",0.17,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd","8",8,144,144,"Ethiopia",NA,"percentage","farm/plot slope","farm/plot slope (percentage)"
"473",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has moderate slope (1=yes; 0=no)","hh perception of farm slope","1= moderate, 0= no","none","multivariate probit mode","probit","coefficient value","0.14000000000000001",0.14,"standard error","0.08",0.08,"nd",NA,"0.1",0.1,"nd","32",32,1539,1539,"Tanzania",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"473",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has steep slope (1=yes; 0=no)","hh perception of farm slope","1= steep, 0= no","none","multivariate probit mode","probit","coefficient value","0.34100000000000003",0.341,"standard error","0.14000000000000001",0.14,"nd",NA,"0.05",0.05,"nd","32",32,1539,1539,"Tanzania",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"473",2,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has moderate slope (1=yes; 0=no)","hh perception of farm slope","1= moderate, 0= no","none","multivariate probit mode","probit","coefficient value","-0.23400000000000001",-0.234,"standard error","0.108",0.108,"nd",NA,"0.05",0.05,"nd","32",32,1539,1539,"Tanzania",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"473",2,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmers’ perception that plot has steep slope (1=yes; 0=no)","hh perception of farm slope","1= steep, 0= no","none","multivariate probit mode","probit","coefficient value","3.6999999999999998E-2",0.037,"standard error","0.16800000000000001",0.168,"nd",NA,"nd",NA,"nd","32",32,1539,1539,"Tanzania",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"476",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","flat plot soil","soil slope","1= flat plot, 0= otherwise","none","multivariate probit mode","probit","coefficient value","0.02",0.02,"standard error","0.27",0.27,"nd",NA,"nd",NA,"nd","30",30,1616,1616,"Ethiopia",NA,"1= flat plot, 0= otherwise","farm/plot slope","farm/plot slope (1= flat plot, 0= otherwise)"
"476",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","medium slope plot","soil slope","1= medium slope plot, 0= otherwise","none","multivariate probit mode","probit","coefficient value","0.09",0.09,"standard error","0.26",0.26,"nd",NA,"nd",NA,"nd","30",30,1616,1616,"Ethiopia",NA,"1= medium slope, 0= otherwise","farm/plot slope","farm/plot slope (1= medium slope, 0= otherwise)"
"543",1,"Rubber","agroforestry","undefined",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","TERR Nature of the land","soil slope","1= flat, 0= sloped","none","logit model","logit","coefficient value","0.48",0.48,"standard error","0.46",0.46,"1.05",1.05,"nd",NA,"nd","17",17,588,588,"India",NA,"1= flat, 0= sloped","farm/plot slope","farm/plot slope (1= flat, 0= sloped)"
"558",1,"Cassava","intercropping","undefined",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","SLOPE","soil slope","Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","none","Probit model","probit","coefficient value","-0.09",-0.09,"standard error","0.19",0.19,"nd",NA,"nd",NA,"nd","12",12,767,767,"Vietnam, Thailand",NA,"Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","farm/plot slope","farm/plot slope (Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly))"
"558",2,"Cassava","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","SLOPE","soil slope","Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","none","Probit model","probit","coefficient value","0.35",0.35,"standard error","0.14000000000000001",0.14,"nd",NA,"0.05",0.05,"nd","12",12,767,767,"Vietnam, Thailand",NA,"Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly)","farm/plot slope","farm/plot slope (Ordinal (1 = ﬂat, 2 = rolling, 3 = hilly))"
"591",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Plot has steep slope (1 = yes)","soil slope","1= steep slope, 0= no","none","Multivariate CRE probit model","probit","coefficient value","-0.20499999999999999",-0.205,"p value","nd",NA,"nd",NA,"nd",NA,"nd","24",24,1954,1954,"Tanzania",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"624",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","none","multivariate probit model","probit","coefficient value","4.9000000000000002E-2",0.049,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,1500,1500,"Kenya",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"624",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","none","multivariate probit model","probit","coefficient value","2E-3",0.002,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,1500,1500,"Kenya",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"624",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","none","multivariate probit model","probit","coefficient value","0.156",0.156,"p value","nd",NA,"nd",NA,"nd",NA,"nd","28",28,29373,29373,"Malawi",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"624",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","none","multivariate probit model","probit","coefficient value","0.17199999999999999",0.172,"p value","nd",NA,"nd",NA,"nd",NA,"nd","28",28,29373,29373,"Malawi",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"624",3,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","none","multivariate probit model","probit","coefficient value","-1.0999999999999999E-2",-0.011,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,3861,3861,"Ethiopia",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"624",3,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","none","multivariate probit model","probit","coefficient value","0.48499999999999999",0.485,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,3861,3861,"Ethiopia",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"624",4,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Mod. slp.plt.","hh perception of farm slope","1= moderate, 0= otherwise","none","multivariate probit model","probit","coefficient value","0.123",0.123,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,1539,1539,"Tanzania",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"624",4,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Step slp. plt.","hh perception of farm slope","1= step, 0= otherwise","none","multivariate probit model","probit","coefficient value","0.36099999999999999",0.361,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,1539,1539,"Tanzania",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"640",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Mean gentle slope","soil slope","1= gentle slope, 0= otherwise","none","mixed multinomial logit (MMNL) model","logit","coefficient value","-0.13",-0.13,"standard error","0.55000000000000004",0.55,"nd",NA,"nd",NA,"nd","30",30,810,810,"Zambia",NA,"1= gentle slope, 0= otherwise","farm/plot slope","farm/plot slope (1= gentle slope, 0= otherwise)"
"640",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Mean medium slope","soil slope","1= medium slope, 0= otherwise","none","mixed multinomial logit (MMNL) model","logit","coefficient value","-0.31",-0.31,"standard error","0.56000000000000005",0.56,"nd",NA,"nd",NA,"nd","30",30,810,810,"Zambia",NA,"1= medium slope, 0= otherwise","farm/plot slope","farm/plot slope (1= medium slope, 0= otherwise)"
"709",1,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is downslope (Ref : upslope)","soil slope","1= downslope, 0= upslope","none","Probit model","probit","marginal effect","0.16900000000000001",0.169,"robust standard error","9.1999999999999998E-2",0.092,"na",NA,"0.1",0.1,"nd","16",16,240,240,"Uganda",NA,"1= downslope, 0= upslope","farm/plot slope","farm/plot slope (1= downslope, 0= upslope)"
"709",1,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is in the middle section mountain slopes (Ref : upslope)","soil slope","1= middle slope, upslope","none","Probit model","probit","marginal effect","0.02",0.02,"robust standard error","7.5999999999999998E-2",0.076,"na",NA,"nd",NA,"nd","16",16,240,240,"Uganda",NA,"1= medium slope, 0= otherwise","farm/plot slope","farm/plot slope (1= medium slope, 0= otherwise)"
"709",2,"nd","soil bund with contour cultivation","perennial grass",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is downslope (Ref : upslope)","soil slope","1= downslope, 0= upslope","none","Probit model","probit","marginal effect","0.108",0.108,"robust standard error","9.1999999999999998E-2",0.092,"na",NA,"nd",NA,"nd","16",16,240,240,"Uganda",NA,"1= downslope, 0= upslope","farm/plot slope","farm/plot slope (1= downslope, 0= upslope)"
"709",2,"nd","soil bund with contour cultivation","perennial grass",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is in the middle section mountain slopes (Ref : upslope)","soil slope","1= middle slope, upslope","none","Probit model","probit","marginal effect","0.21",0.21,"robust standard error","8.3000000000000004E-2",0.083,"na",NA,"0.05",0.05,"nd","16",16,240,240,"Uganda",NA,"1= medium slope, 0= otherwise","farm/plot slope","farm/plot slope (1= medium slope, 0= otherwise)"
"754",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Flat slope plot","soil slope","1= flat, 0= steep slope","none","multinomial logit model","logit","coefficient value","-0.74399999999999999",0.744,"standard error","0.38900000000000001",0.389,"nd",NA,"0.1",0.1,"nd","27",27,2937,2937,"Malawi",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"754",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Moderately slope plot","soil slope","1= moderately, 0= steep slope","none","multinomial logit model","logit","coefficient value","-0.11899999999999999",-0.119,"standard error","0.41699999999999998",0.417,"nd",NA,"nd",NA,"nd","27",27,2937,2937,"Malawi",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"754",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Flat slope plot","soil slope","1= flat, 0= steep slope","none","multinomial logit model","logit","coefficient value","-0.73899999999999999",0.739,"standard error","0.44800000000000001",0.448,"nd",NA,"0.1",0.1,"nd","27",27,2937,2937,"Malawi",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"754",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Moderately slope plot","soil slope","1= moderately, 0= steep slope","none","multinomial logit model","logit","coefficient value","0.01",0.01,"standard error","0.46100000000000002",0.461,"nd",NA,"nd",NA,"nd","27",27,2937,2937,"Malawi",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"800",1,"nd","embedded seminatural infrastructures","field margins","grass or weedy buffer strips",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slope (percent)","soil slope","percent","none","Probit model","probit","coefficient value","0.02",0.02,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd","8",8,70,70,"Philippines",NA,"percentage","farm/plot slope","farm/plot slope (percentage)"
"800",2,"nd","embedded seminatural infrastructures","field margins","grass or weedy buffer strips",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slope (percent)","soil slope","percent","none","Probit model","probit","coefficient value","0.05",0.05,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd","8",8,70,70,"Philippines",NA,"percentage","farm/plot slope","farm/plot slope (percentage)"
"804",1,"Corn","agroforestry","hedgerow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Plot slope (°)","soil slope","grade","none","probit regressions","probit","coefficient value","-2.7000000000000001E-3",-0.0027,"standard error","1.66E-2",0.0166,"nd",NA,"nd",NA,"nd","14",14,89,89,"Philippines",NA,"grade","farm/plot slope","farm/plot slope (grade)"
