"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor","factor_metric_unit"
"624",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Market distance","distance to market","minutes","continuous","none","multivariate probit model","probit","coefficient value",0.07,0.07,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",28,28,29373,29373,"Malawi",NA,"minutes","distance to market","distance to market (minutes)"
"624",3,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Market distance","distance to market","minutes","continuous","none","multivariate probit model","probit","coefficient value",-0.101,-0.101,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",27,27,3861,3861,"Ethiopia",NA,"minutes","distance to market","distance to market (minutes)"
"624",4,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Market distance","distance to market","minutes","continuous","none","multivariate probit model","probit","coefficient value",-0.134,-0.134,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",27,27,1539,1539,"Tanzania",NA,"minutes","distance to market","distance to market (minutes)"
"640",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Ln distance to fertiliser markets","distance to input market","minutes","continuous","ln","mixed multinomial logit (MMNL) model","logit","coefficient value",-0.11,-0.11,"standard error","0.09",0.09,"nd",NA,"nd",NA,"nd",30,30,810,810,"Zambia",NA,"minutes","distance to market","distance to market (minutes)"
"640",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Ln distance to output market","distance to market","minutes","continuous","ln","mixed multinomial logit (MMNL) model","logit","coefficient value",0.01,0.01,"standard error","0.11",0.11,"nd",NA,"nd",NA,"nd",30,30,810,810,"Zambia",NA,"minutes","distance to market","distance to market (minutes)"
"670",1,"nd","agroforestry","native trees",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","market distance","distance to market","km","continuous","none","binary probit model","probit","coefficient value",0.07,0.07,"standard error","2.9000000000000001E-2",0.029,"2.41",2.41,"0.05",0.05,"nd",12,12,108,108,"Sudan",NA,"km","distance to market","distance to market (km)"
"709",1,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to nearest market is over 1 km not exceed 3 km (Ref : Distance <1 km)","distance to market","1= 1 to 3 km, 0= less than 1 km","categorical (binary)","none","Probit model","probit","marginal effect",0.047,0.047,"robust standard error","9.2999999999999999E-2",0.093,"na",NA,"nd",NA,"nd",16,16,240,240,"Uganda",NA,"1= 1 to 3 km, 0= less than 1 km","distance to market","distance to market (1= 1 to 3 km, 0= less than 1 km)"
"709",1,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to nearest market is over 3 km (Ref : Distance <1 km)","distance to market","1= 1 to 3 km, 0= less than 1 km","categorical (binary)","none","Probit model","probit","marginal effect",0.114,0.114,"robust standard error","8.1000000000000003E-2",0.081,"na",NA,"nd",NA,"nd",16,16,240,240,"Uganda",NA,"1= 1 to 3 km, 0= less than 1 km","distance to market","distance to market (1= 1 to 3 km, 0= less than 1 km)"
"709",2,"nd","soil bund with contour cultivation","perennial grass",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to nearest market is over 1 km not exceed 3 km (Ref : Distance <1 km)","distance to market","1= 1 to 3 km, 0= less than 1 km","categorical (binary)","none","Probit model","probit","marginal effect",-0.033,-0.033,"robust standard error","0.10199999999999999",0.102,"na",NA,"nd",NA,"nd",16,16,240,240,"Uganda",NA,"1= 1 to 3 km, 0= less than 1 km","distance to market","distance to market (1= 1 to 3 km, 0= less than 1 km)"
"709",2,"nd","soil bund with contour cultivation","perennial grass",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to nearest market is over 3 km (Ref : Distance <1 km)","distance to market","1= 1 to 3 km, 0= less than 1 km","categorical (binary)","none","Probit model","probit","marginal effect",0.171,0.171,"robust standard error","8.5999999999999993E-2",0.086,"na",NA,"0.1",0.1,"nd",16,16,240,240,"Uganda",NA,"1= 1 to 3 km, 0= less than 1 km","distance to market","distance to market (1= 1 to 3 km, 0= less than 1 km)"
"754",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Distance to output market","distance to market","minutes","continuous","none","multinomial logit model","logit","coefficient value",0.001,0.001,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"minutes","distance to market","distance to market (minutes)"
"754",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Distance to input market","distance to input market","minutes","continuous","none","multinomial logit model","logit","coefficient value",0.001,0.001,"standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"minutes","distance to market","distance to market (minutes)"
"754",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Distance to output market","distance to market","minutes","continuous","none","multinomial logit model","logit","coefficient value",-0.002,-0.002,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"minutes","distance to market","distance to market (minutes)"
"754",2,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1= no, 2= yes)","partial correlation","Distance to input market","distance to input market","minutes","continuous","none","multinomial logit model","logit","coefficient value",0.001,0.001,"standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"minutes","distance to market","distance to market (minutes)"
"792",3,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Log of distance to the main market","distance to market","km","continuous","log10","seemingly unrelated probit model","probit","coefficient value",-0.06,-0.06,"standard error","0.1",0.1,"nd",NA,"nd",NA,"nd",22,22,613,613,"Tanzania",NA,"km","distance to market","distance to market (km)"
"792",4,"Pigeonpea","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Log of distance to the main market","distance to market","km","continuous","log10","seemingly unrelated probit model","probit","coefficient value",-0.24,-0.24,"standard error","0.11",0.11,"nd",NA,"0.05",0.05,"nd",23,23,613,613,"Tanzania",NA,"km","distance to market","distance to market (km)"
"792",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Log of distance to the main market","distance to market","km","continuous","log10","recursive bivariate probit","probit","coefficient value",-0.05,-0.05,"standard error","0.12",0.12,"nd",NA,"nd",NA,"nd",22,22,613,613,"Tanzania",NA,"km","distance to market","distance to market (km)"
"792",2,"Pigeonpea","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Log of distance to the main market","distance to market","km","continuous","log10","recursive bivariate probit","probit","coefficient value",-0.22,-0.22,"standard error","0.1",0.1,"nd",NA,"0.05",0.05,"nd",23,23,613,613,"Tanzania",NA,"km","distance to market","distance to market (km)"
"941",1,"Rice, wheat","crop rotation and intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","distance to market","distance to market","km","continuous","none","Multivariate probit model","probit","coefficient value",-0.035,-0.035,"standard error","3.4000000000000002E-2",0.034,"nd",NA,"nd",NA,"nd",28,28,1926,1926,"India",NA,"km","distance to market","distance to market (km)"
