"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_recla","x_metric_unit","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"443",1,"Cereals","crop rotation and intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","(years)^2","probit regression model","probit","coefficient value","1E-3",0.001,"standard error","0",0,"nd",NA,"0.01",0.01,"nd","25",25,538,538,"Zimbabwe","(years)^2","hh farming experience","hh farming experience ((years)^2)"
"452",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","probit regression model","probit","coefficient value","4.0000000000000001E-3",0.004,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd","9",9,400,400,"Zambia","years","hh farming experience","hh farming experience (years)"
"452",2,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","probit regression model","probit","coefficient value","5.0000000000000001E-3",0.005,"standard error","2E-3",0.002,"nd",NA,"0.1",0.1,"nd","9",9,400,400,"Zambia","years","hh farming experience","hh farming experience (years)"
"489",1,"Sorghum","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit regression","logit","coefficient value","-4.1000000000000002E-2",-0.041,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,120,120,"Uganda","years","hh farming experience","hh farming experience (years)"
"489",2,"Sorghum","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit regression","logit","coefficient value","-2.8000000000000001E-2",-0.028,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,120,120,"Uganda","years","hh farming experience","hh farming experience (years)"
"510",1,"Rice","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","bivariate probit model","probit","coefficient value","1.0999999999999999E-2",0.011,"t ratio","1.97",1.97,"1.97",1.97,"0.05",0.05,"nd","12",12,406,406,"Bangladesh","years","hh farming experience","hh farming experience (years)"
"517",1,"nd","agroforestry","undefined",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Probit regression model","probit","coefficient value","-3.6200000000000003E-2",-0.0362,"p value","0.13700000000000001",0.137,"nd",NA,"0.13700000000000001",0.137,"nd","14",14,400,400,"Nigeria","years","hh farming experience","hh farming experience (years)"
"543",NA,"Rubber","agroforestry","undefined",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logit model","logit","coefficient value","0.17",0.17,"standard error","3.9E-2",0.039,"4.4400000000000004",4.44,"0.01",0.01,"nd","17",17,588,588,"India","years","hh farming experience","hh farming experience (years)"
"638",1,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logit regression model","logit","marginal effect","2E-3",0.002,"p value","nd",NA,"nd",NA,"nd",NA,"nd","27",27,595,595,"Kenya","years","hh farming experience","hh farming experience (years)"
"670",1,"nd","agroforestry","native trees",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","binary probit model","probit","coefficient value","0.28000000000000003",0.28,"standard error","0.1129",0.1129,"2.48",2.48,"0.01",0.01,"nd","12",12,108,108,"Sudan","years","hh farming experience","hh farming experience (years)"
"701",1,"nd","agroforestry","alley cropping","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logit regression","logit","coefficient value","-4.3400000000000001E-3",-0.00434,"t value","-0.47299999999999998",-0.473,"-0.47299999999999998",-0.473,"nd",NA,"nd","14",14,676,676,"Cameroon","years","hh farming experience","hh farming experience (years)"
"701",2,"nd","land with temporary fallow","improved fallow","tree planting",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logit regression","logit","coefficient value","0.02",0.02,"t value","2.077",2.077,"2.077",2.077,"0.05",0.05,"nd","14",14,675,675,"Cameroon","years","hh farming experience","hh farming experience (years)"
"701",3,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logit regression","logit","coefficient value","1.21E-2",0.0121,"t value","1.2869999999999999",1.287,"1.2869999999999999",1.287,"nd",NA,"nd","14",14,676,676,"Cameroon","years","hh farming experience","hh farming experience (years)"
"701",4,"nd","grazing cut and carry","agro-silvopasture",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logit regression","logit","coefficient value","1.12E-2",0.0112,"t value","1.0920000000000001",1.092,"1.0920000000000001",1.092,"nd",NA,"nd","14",14,676,676,"Cameroon","years","hh farming experience","hh farming experience (years)"
"895",1,"Corn","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","multinomial logit model","logit","marginal effect","1E-3",0.001,"standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd","15",15,539,539,"USA","years","hh farming experience","hh farming experience (years)"
"927",1,"Corn","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit Models","logit","coefficient value","-2E-3",-0.002,"standard error","0.01",0.01,"nd",NA,"nd",NA,"nd","13",13,842,842,"USA","years","hh farming experience","hh farming experience (years)"
"927",2,"Corn","soil bund with contour cultivation","crops",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit Models","logit","coefficient value","-2.7E-2",-0.027,"standard error","0.01",0.01,"nd",NA,"nd",NA,"nd","12",12,842,842,"USA","years","hh farming experience","hh farming experience (years)"
"927",3,"Corn","soil bund with contour cultivation","grass",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit Models","logit","coefficient value","-2.3E-2",-0.023,"standard error","0.01",0.01,"nd",NA,"0.05",0.05,"nd","12",12,842,842,"USA","years","hh farming experience","hh farming experience (years)"
"927",4,"Corn","intercropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit Models","logit","coefficient value","5.0000000000000001E-3",0.005,"standard error","0.01",0.01,"nd",NA,"nd",NA,"nd","12",12,842,842,"USA","years","hh farming experience","hh farming experience (years)"
